54 265 0
373 429 1
104 242 0
349 415 1
113 219 0
51 274 0
103 252 0
94 203 0
123 179 0
170 246 0
186 241 0
215 179 0
226 157 0
177 181 0
236 210 0
259 184 0
210 454 1
259 468 1
290 437 1
280 399 1
315 373 1
333 407 1
347 452 1
402 447 1
427 424 1
419 380 1
388 374 1
401 351 1
436 338 1
442 319 1
205 103 0
62 141 0
47 200 0
103 255 0
222 187 0
231 425 1
189 463 1
377 422 1
429 379 1
292 112 0
264 75 0
124 156 0
137 204 0
363 360 1
396 314 1
420 278 1
426 260 1
141 275 0
101 324 0
62 352 0
56 321 0
324 343 1
234 401 1
218 438 1
419 371 1
432 264 1
436 252 1
199 128 0
160 65 0
123 67 0
346 307 1
241 402 1
243 447 1
370 446 1
429 444 1
455 297 1
464 111 1
387 253 1
394 230 1
411 200 1
440 170 1
448 205 1
454 226 1
256 69 0
282 40 0
