0.226 0.588 0
0.224 0.484 0
0.278 0.632 0
0.3 0.764 0
0.326 0.684 0
0.282 0.526 0
0.282 0.414 0
0.346 0.336 0
0.376 0.482 0
0.426 0.416 0
0.49 0.292 0
0.582 0.342 0
0.604 0.408 0
0.63 0.458 0
0.638 0.46 0
0.442 0.67 1
0.458 0.744 1
0.506 0.706 1
0.51 0.634 1
0.486 0.58 1
0.408 0.624 1
0.374 0.716 1
0.48 0.794 1
0.62 0.72 1
0.602 0.568 1
0.646 0.576 1
0.664 0.646 1
0.416 0.872 0
0.374 0.882 0
0.162 0.84 0
0.178 0.722 0
0.23 0.598 0
0.184 0.502 0
0.21 0.344 0
0.352 0.27 0
0.48 0.242 0
0.672 0.268 0
0.714 0.386 0
0.744 0.414 0
0.748 0.438 0
0.512 0.854 1
0.57 0.862 1
0.6 0.736 1
0.752 0.67 1
0.872 0.748 1
0.746 0.65 1
0.654 0.558 1
0.578 0.508 1
0.538 0.45 1
0.514 0.482 1
0.536 0.6 1
0.536 0.69 1
0.55 0.736 1
0.694 0.686 1
0.726 0.786 1
0.742 0.82 1
0.756 0.63 1
0.734 0.566 1
